1e-25 1e-28 1e-28 1694.116644
1e-25 1e-28 3.981071706e-28 1694.077767
1e-25 1e-28 1.584893192e-27 1693.583154
1e-25 1e-28 6.309573445e-27 1686.309772
1e-25 1e-28 2.511886432e-26 1590.830338
1e-25 1e-28 1e-25 1260.420262
1e-25 1e-28 3.981071706e-25 1217.872213
1e-25 1e-28 1.584893192e-24 1217.702701
1e-25 1e-28 6.309573445e-24 1217.683778
1e-25 1e-28 2.511886432e-23 1217.682601
1e-25 3.981071706e-28 1e-28 1694.112435
1e-25 3.981071706e-28 3.981071706e-28 1694.07356
1e-25 3.981071706e-28 1.584893192e-27 1693.578955
1e-25 3.981071706e-28 6.309573445e-27 1686.305745
1e-25 3.981071706e-28 2.511886432e-26 1590.828483
1e-25 3.981071706e-28 1e-25 1260.420781
1e-25 3.981071706e-28 3.981071706e-25 1217.872238
1e-25 3.981071706e-28 1.584893192e-24 1217.702701
1e-25 3.981071706e-28 6.309573445e-24 1217.683778
1e-25 3.981071706e-28 2.511886432e-23 1217.682601
1e-25 1.584893192e-27 1e-28 1694.045723
1e-25 1.584893192e-27 3.981071706e-28 1694.006857
1e-25 1.584893192e-27 1.584893192e-27 1693.512408
1e-25 1.584893192e-27 6.309573445e-27 1686.241921
1e-25 1.584893192e-27 2.511886432e-26 1590.798692
1e-25 1.584893192e-27 1e-25 1260.428977
1e-25 1.584893192e-27 3.981071706e-25 1217.872648
1e-25 1.584893192e-27 1.584893192e-24 1217.702708
1e-25 1.584893192e-27 6.309573445e-24 1217.683779
1e-25 1.584893192e-27 2.511886432e-23 1217.682602
1e-25 6.309573445e-27 1e-28 1692.989603
1e-25 6.309573445e-27 3.981071706e-28 1692.950954
1e-25 6.309573445e-27 1.584893192e-27 1692.459314
1e-25 6.309573445e-27 6.309573445e-27 1685.237954
1e-25 6.309573445e-27 2.511886432e-26 1590.277315
1e-25 6.309573445e-27 1e-25 1260.55892
1e-25 6.309573445e-27 3.981071706e-25 1217.881403
1e-25 6.309573445e-27 1.584893192e-24 1217.702815
1e-25 6.309573445e-27 6.309573445e-24 1217.683785
1e-25 6.309573445e-27 2.511886432e-23 1217.682602
1e-25 2.511886432e-26 1e-28 1677.192543
1e-25 2.511886432e-26 3.981071706e-28 1677.156672
1e-25 2.511886432e-26 1.584893192e-27 1676.701625
1e-25 2.511886432e-26 6.309573445e-27 1669.992693
1e-25 2.511886432e-26 2.511886432e-26 1582.038782
1e-25 2.511886432e-26 1e-25 1262.553631
1e-25 2.511886432e-26 3.981071706e-25 1217.910081
1e-25 2.511886432e-26 1.584893192e-24 1217.704506
1e-25 2.511886432e-26 6.309573445e-24 1217.683891
1e-25 2.511886432e-26 2.511886432e-23 1217.682609
1e-25 1e-25 1e-28 1526.577201
1e-25 1e-25 3.981071706e-28 1526.563551
1e-25 1e-25 1.584893192e-27 1526.393384
1e-25 1e-25 6.309573445e-27 1523.894865
1e-25 1e-25 2.511886432e-26 1488.356806
1e-25 1e-25 1e-25 1281.765796
1e-25 1e-25 3.981071706e-25 1218.2832
1e-25 1e-25 1.584893192e-24 1217.73126
1e-25 1e-25 6.309573445e-24 1217.685564
1e-25 1e-25 2.511886432e-23 1217.682714
1e-25 3.981071706e-25 1e-28 1252.404882
1e-25 3.981071706e-25 3.981071706e-28 1252.404738
1e-25 3.981071706e-25 1.584893192e-27 1252.402894
1e-25 3.981071706e-25 6.309573445e-27 1252.374621
1e-25 3.981071706e-25 2.511886432e-26 1251.857416
1e-25 3.981071706e-25 1e-25 1244.854741
1e-25 3.981071706e-25 3.981071706e-25 1223.59599
1e-25 3.981071706e-25 1.584893192e-24 1218.109506
1e-25 3.981071706e-25 6.309573445e-24 1217.712235
1e-25 3.981071706e-25 2.511886432e-23 1217.684385
1e-25 1.584893192e-24 1e-28 1239.990198
1e-25 1.584893192e-24 3.981071706e-28 1239.990199
1e-25 1.584893192e-24 1.584893192e-27 1239.990166
1e-25 1.584893192e-24 6.309573445e-27 1239.989631
1e-25 1.584893192e-24 2.511886432e-26 1239.977211
1e-25 1.584893192e-24 1e-25 1239.779346
1e-25 1.584893192e-24 3.981071706e-25 1236.721891
1e-25 1.584893192e-24 1.584893192e-24 1223.166314
1e-25 1.584893192e-24 6.309573445e-24 1218.095958
1e-25 1.584893192e-24 2.511886432e-23 1217.711036
1e-25 6.309573445e-24 1e-28 1240.000561
1e-25 6.309573445e-24 3.981071706e-28 1240.000561
1e-25 6.309573445e-24 1.584893192e-27 1240.000379
1e-25 6.309573445e-24 6.309573445e-27 1240.000337
1e-25 6.309573445e-24 2.511886432e-26 1239.999879
1e-25 6.309573445e-24 1e-25 1239.987629
1e-25 6.309573445e-24 3.981071706e-25 1239.783985
1e-25 6.309573445e-24 1.584893192e-24 1236.735084
1e-25 6.309573445e-24 6.309573445e-24 1223.172895
1e-25 6.309573445e-24 2.511886432e-23 1218.091841
1e-25 2.511886432e-23 1e-28 1239.994723
1e-25 2.511886432e-23 3.981071706e-28 1239.994723
1e-25 2.511886432e-23 1.584893192e-27 1239.994723
1e-25 2.511886432e-23 6.309573445e-27 1239.994656
1e-25 2.511886432e-23 2.511886432e-26 1239.99481
1e-25 2.511886432e-23 1e-25 1239.992338
1e-25 2.511886432e-23 3.981071706e-25 1239.977406
1e-25 2.511886432e-23 1.584893192e-24 1239.779123
1e-25 2.511886432e-23 6.309573445e-24 1236.712267
1e-25 2.511886432e-23 2.511886432e-23 1223.166178
